Title,Author,Narrator,Duration,Price,Image link
Burn Book,Kara Swisher,Kara Swisher,7 h y 40 m,US$17.99,https://m.media-amazon.com/images/I/51Mdr83ofCL._SL500_.jpg
How to Do Nothing,Jenny Odell,Rebecca Gibel,8 h y 10 m,US$17.19,https://m.media-amazon.com/images/I/61DV5ARPuxL._SL500_.jpg
The Ultimate Generative AI Guidebook,Jordan Blake,Michael Robinson,5 h y 2 m,US$19.95,https://m.media-amazon.com/images/I/51kpb15OPoL._SL500_.jpg
The Book,Keith Houston,Dennis Kleinman,9 h y 58 m,US$17.19,https://m.media-amazon.com/images/I/41-Cmh8JOBL._SL500_.jpg
40-Day Social Media Fast,Wendy Speake,Wendy Speake,6 h,US$17.19,https://m.media-amazon.com/images/I/51iKpXBkjxL._SL500_.jpg
The Idea Factory,Jon Gertner,Chris Sorensen,17 h y 28 m,US$25.79,https://m.media-amazon.com/images/I/41Tq-XYDlbL._SL500_.jpg
The AI Prompt Playbook,AI Horizons,David Van Der Molen,2 h y 40 m,US$6.95,https://m.media-amazon.com/images/I/41fyR2IGwlL._SL500_.jpg
ChatGPT Anthology: 5 Books in 1,Ryan Lee,Joseph Harris,12 h y 37 m,US$24.95,https://m.media-amazon.com/images/I/51tpx-6FK8L._SL500_.jpg
Hackers & Painters,Paul Graham,Mark Sando,7 h y 44 m,US$17.19,https://m.media-amazon.com/images/I/61MSZsYP-NL._SL500_.jpg
User Story Mapping,Jeff Patton,Roy McCrerey,8 h y 19 m,US$21.49,https://m.media-amazon.com/images/I/51p99PPnqPL._SL500_.jpg
"CIA MIND SCIENCE, CODES & CIPHERS",Eric Engle,Virtual Voice,6 h y 20 m,US$14.99,https://m.media-amazon.com/images/I/51s9qugibeL._SL500_.jpg
Clean Agile,Robert C. Martin,Theodore O'Brien,5 h y 53 m,US$21.49,https://m.media-amazon.com/images/I/416ishNzDYL._SL500_.jpg
Managing Humans,Michael Lopp,TJ Johnson,5 h y 39 m,US$17.19,https://m.media-amazon.com/images/I/51SPjMOkP1L._SL500_.jpg
LikeWar,P. W. Singer,George Guidall,11 h y 21 m,US$21.49,https://m.media-amazon.com/images/I/51kgjvJtjDL._SL500_.jpg
The Distracted Mind,Larry D. Rosen,Chris Sorensen,10 h y 56 m,US$21.49,https://m.media-amazon.com/images/I/51C3EoGw9WL._SL500_.jpg
Deep Medicine,Eric Topol,Graham Winton,11 h y 6 m,US$21.49,https://m.media-amazon.com/images/I/41Unwch-NoL._SL500_.jpg
The Clean Coder,Robert C. Martin,Theodore O'Brien,6 h y 12 m,US$21.49,https://m.media-amazon.com/images/I/51VzkJGKrjL._SL500_.jpg
Data and Goliath,Bruce Schneier,Dan John Miller,9 h y 27 m,US$17.19,https://m.media-amazon.com/images/I/61PhiuQpSJL._SL500_.jpg
"CompTIA A+, NETWORK+ & SECURITY+ EXAM PREP (3-BOOKS-IN-1)",SmartStudy Solutions,Virtual Voice,15 h y 43 m,US$14.99,https://m.media-amazon.com/images/I/510EHrkNvfL._SL500_.jpg
Fundamentals of Software Architecture,Mark Richards,Benjamin Lange,13 h y 10 m,US$30.09,https://m.media-amazon.com/images/I/51r3fURBurL._SL500_.jpg
